episode,evader_speed,success,num_caught,chase_time,getaway_time
32,0.9,0,2,-1,1599
33,0.9,0,1,-1,1599
34,0.9,0,0,-1,108
35,0.9,0,0,-1,78
36,0.9,0,1,-1,177
37,0.9,0,1,-1,125
38,0.9,0,0,-1,73
39,0.9,0,0,-1,95
40,0.9,1,3,1136,-1
41,0.9,0,2,-1,1244
42,0.9,0,1,-1,117
43,0.9,0,0,-1,70
44,0.9,0,1,-1,728
45,0.9,1,3,1422,-1
46,0.9,0,1,-1,78
47,0.9,1,3,1213,-1
48,0.9,0,1,-1,70
49,0.9,0,2,-1,274
50,0.9,0,1,-1,144
1,1.0,0,1,-1,75
2,1.0,1,3,1488,-1
3,1.0,0,1,-1,57
4,1.0,0,1,-1,95
5,1.0,0,1,-1,65
6,1.0,0,1,-1,57
7,1.0,0,0,-1,113
8,1.0,0,1,-1,95
9,1.0,0,1,-1,75
10,1.0,0,2,-1,1194
11,1.0,0,1,-1,1599
12,1.0,0,1,-1,1599
13,1.0,0,1,-1,113
14,1.0,0,0,-1,113
15,1.0,0,1,-1,119
16,1.0,0,2,-1,197
17,1.0,0,1,-1,95
18,1.0,0,2,-1,227
19,1.0,0,1,-1,1599
20,1.0,0,1,-1,70
21,1.0,0,2,-1,265
22,1.0,0,0,-1,87
23,1.0,0,1,-1,100
24,1.0,0,0,-1,75
25,1.0,0,0,-1,70
26,1.0,0,1,-1,65
27,1.0,0,1,-1,191
28,1.0,0,1,-1,85
29,1.0,0,0,-1,70
30,1.0,0,0,-1,62
31,1.0,0,0,-1,62
32,1.0,0,1,-1,70
33,1.0,0,0,-1,95
34,1.0,0,0,-1,70
35,1.0,0,0,-1,70
36,1.0,0,0,-1,97
37,1.0,0,0,-1,87
38,1.0,0,2,-1,1599
39,1.0,0,0,-1,70
40,1.0,0,1,-1,1599
41,1.0,0,1,-1,70
42,1.0,0,0,-1,87
43,1.0,0,0,-1,65
44,1.0,0,1,-1,131
45,1.0,0,1,-1,103
46,1.0,0,1,-1,57
47,1.0,0,0,-1,70
48,1.0,0,2,-1,1599
49,1.0,0,0,-1,82
50,1.0,0,2,-1,1599
