episode,evader_speed,success,num_caught,chase_time,getaway_time
35,0.9,1,3,68,-1
36,0.9,0,0,-1,73
37,0.9,0,0,-1,70
38,0.9,1,3,89,-1
39,0.9,1,3,89,-1
40,0.9,0,0,-1,70
41,0.9,1,3,90,-1
42,0.9,1,3,100,-1
43,0.9,0,0,-1,70
44,0.9,0,0,-1,70
45,0.9,0,0,-1,64
46,0.9,1,3,127,-1
47,0.9,0,0,-1,70
48,0.9,1,3,127,-1
49,0.9,1,3,127,-1
50,0.9,0,0,-1,64
1,1.0,1,3,87,-1
2,1.0,0,0,-1,65
3,1.0,0,0,-1,62
4,1.0,1,3,88,-1
5,1.0,1,3,87,-1
6,1.0,0,2,-1,105
7,1.0,0,0,-1,65
8,1.0,0,1,-1,131
9,1.0,1,3,80,-1
10,1.0,0,1,-1,131
11,1.0,1,3,51,-1
12,1.0,1,3,80,-1
13,1.0,0,1,-1,131
14,1.0,1,3,70,-1
15,1.0,0,2,-1,147
16,1.0,0,2,-1,148
17,1.0,0,2,-1,148
18,1.0,1,3,88,-1
19,1.0,1,3,51,-1
20,1.0,0,1,-1,131
21,1.0,0,0,-1,62
22,1.0,0,2,-1,105
23,1.0,1,3,70,-1
24,1.0,0,2,-1,148
25,1.0,0,2,-1,148
26,1.0,0,0,-1,62
27,1.0,0,0,-1,62
28,1.0,0,0,-1,62
29,1.0,0,2,-1,148
30,1.0,1,3,87,-1
31,1.0,0,0,-1,57
32,1.0,0,2,-1,145
33,1.0,0,0,-1,62
34,1.0,1,3,80,-1
35,1.0,1,3,88,-1
36,1.0,0,2,-1,145
37,1.0,0,2,-1,148
38,1.0,0,0,-1,62
39,1.0,0,0,-1,62
40,1.0,1,3,51,-1
41,1.0,0,0,-1,57
42,1.0,1,3,51,-1
43,1.0,0,2,-1,148
44,1.0,1,3,51,-1
45,1.0,1,3,88,-1
46,1.0,0,2,-1,148
47,1.0,0,1,-1,131
48,1.0,0,2,-1,145
49,1.0,0,2,-1,145
50,1.0,1,3,70,-1
